X1,Player,Year.x,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year.y,Lg,Rd,Pk,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
87,Ekpe Udoh,2010,6,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,9.5,8.75,10,11.15,3.29,169,2010,NBA,1,6,GSW,23.041,C-F,us,Baylor,2011,2019,384,14.8,3.5,2.9,0.7,0.5,1.1,0.453,0.455,0,0.718,10.4,0.088
88,Greg Monroe,2010,7,81.75,83,86.25,108.5,29,137.5,25,133.5,247,11.2,8.75,9.5,15,12.1,3.35,54,2010,NBA,1,7,DET,20.025,C-F,us,Georgetown,2011,2019,632,27.7,13.2,8.3,2.1,1.1,0.6,0.514,0.515,0.059,0.704,49.7,0.136
89,Al-Farouq Aminu,2010,8,79.25,80.5,87.25,108.5,33.5,142,27,135.5,216,8.2,9.5,9.5,13,11.29,3.3,214,2010,NBA,1,8,LAC,19.281,F,us,Wake Forest,2011,2020,676,25.2,7.7,6.1,1.2,1,0.6,0.422,0.468,0.338,0.745,27.5,0.078
90,Gordon Hayward,2010,9,78.75,80,79.75,103,34.5,137.5,30.5,133.5,211,6.9,8.5,9.25,10,11.73,3.22,67,2010,NBA,1,9,UTA,20.098,F-G,us,Butler,2011,2020,594,30.6,15.1,4.2,3.4,1,0.4,0.446,0.483,0.366,0.821,48.4,0.128
98,Jimmer Fredette,2011,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,14,10.42,3.21,339,2011,NBA,1,10,MIL,22.123,G,us,BYU,2012,2019,241,13.3,6,1,1.4,0.4,0,0.409,0.434,0.372,0.879,2.2,0.033
99,Klay Thompson,2011,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,5,10.99,3.24,110,2011,NBA,1,11,GSW,21.14,G-F,us,Washington State,2012,2019,615,33.1,19.5,3.5,2.3,0.9,0.5,0.459,0.491,0.419,0.848,46.8,0.11
100,Alec Burks,2011,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,5,10.96,3.17,246,2011,NBA,1,12,UTA,19.343,G,us,Colorado,2012,2020,432,21.1,9.5,3,1.7,0.6,0.2,0.423,0.444,0.357,0.771,13,0.068
101,Markieff Morris,2011,13,79.75,81.25,82.75,106.5,31.5,138,27,133.5,241,10.2,8.5,8.25,11,NA,3.4,229,2011,NBA,1,13,PHO,21.299,F,us,Kansas,2012,2020,586,26,11.6,5.5,1.7,0.9,0.6,0.449,0.481,0.338,0.777,23.6,0.074
102,Marcus Morris,2011,14,79,80.75,82,105.5,33,138.5,29,134.5,230,8,8.25,8.5,11,NA,3.15,158,2011,NBA,1,14,HOU,21.299,F,us,Kansas,2012,2020,552,26.6,11.6,4.6,1.5,0.7,0.3,0.431,0.474,0.362,0.75,27.4,0.09
103,Kawhi Leonard,2011,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,3,11.45,3.15,3,2011,NBA,1,15,IND,19.364,F,us,San Diego State,2012,2020,473,30.8,17.8,6.3,2.4,1.8,0.7,0.494,0.537,0.383,0.848,66.9,0.22
105,Iman Shumpert,2011,17,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,9,9,18,11.1,3.18,281,2011,NBA,1,17,NYK,21.002,G,us,Georgia Tech,2012,2019,446,25.2,7.3,3.4,1.9,1.1,0.3,0.393,0.438,0.34,0.766,12.9,0.055
106,Chris Singleton,2011,18,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,9.25,10,15,11.33,3.09,321,2011,NBA,1,18,WAS,21.219,F,us,Florida State,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,0.376,0.4,0.319,0.633,2.3,0.042
107,Tobias Harris,2011,19,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,8.75,9,12,10.96,3.17,95,2011,NBA,1,19,CHA,18.347,F,us,Tennessee,2012,2020,551,30.4,15.5,6,1.9,0.7,0.5,0.471,0.513,0.364,0.822,40.1,0.115
108,Derrick Williams,2011,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,19,11.03,3.23,224,2011,NBA,1,2,MIN,20.034,F,us,Arizona,2012,2018,428,20.7,8.9,4,0.7,0.5,0.3,0.434,0.484,0.3,0.71,14.1,0.076
109,Nolan Smith,2011,21,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,8.5,9.25,9,11.05,3.17,426,2011,NBA,1,21,POR,22.338,G,us,Duke,2012,2013,84,9.9,3.3,1,1.2,0.3,0,0.371,0.407,0.26,0.714,-0.8,-0.047
110,Kenneth Faried,2011,22,78,79.5,84,108,35,143,30.5,138.5,225,6.3,8.5,10.25,16,11.35,3.26,30,2011,NBA,1,22,DEN,21.221,F,us,Morehead State University,2012,2019,478,24.5,11.4,8.1,1,0.7,0.8,0.546,0.55,0.222,0.654,38.8,0.159
112,Jordan Hamilton,2011,26,78.75,80.5,81.5,104,32,136,25,129,228,9.8,9,9.25,7,11.47,3.3,241,2011,NBA,1,26,DAL,20.265,G-F,us,Texas,2012,2016,151,13.9,5.9,2.8,0.8,0.5,0.2,0.408,0.451,0.357,0.67,3,0.069
114,Norris Cole,2011,28,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,8.5,9.5,11,10.07,3.22,371,2011,NBA,1,28,CHI,22.258,G,us,Cleveland State University,2012,2017,360,22.3,7,2,2.7,0.8,0.1,0.407,0.436,0.324,0.743,3,0.018
115,Cory Joseph,2011,29,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,8.5,10.5,5,10.75,3.27,155,2011,NBA,1,29,SAS,19.312,G,ca,Texas,2012,2020,535,21.4,6.9,2.6,2.8,0.8,0.2,0.443,0.477,0.326,0.764,21.8,0.091
116,Enes Kanter,2011,3,81.75,83.25,85.5,109.5,32.5,142,26,135.5,259,5.9,9.5,10.75,14,11.3,3.26,43,2011,NBA,1,3,UTA,19.038,C,ch,NA,2012,2020,584,22.2,11.9,7.6,0.8,0.4,0.4,0.541,0.548,0.292,0.778,39.7,0.147
117,Jimmy Butler,2011,30,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,9,9,14,11.92,3.15,13,2011,NBA,1,30,CHI,21.287,F-G,us,Marquette,2012,2020,526,32.9,16.7,4.9,3.5,1.6,0.5,0.453,0.486,0.34,0.834,66.6,0.184
118,Justin Harper,2011,32,80,80.75,83.75,106,33,139,28.5,134.5,228,4,9,9.25,19,11.92,3.3,417,2011,NBA,2,32,CLE,21.302,F,us,University of Richmond,2012,2017,22,6.8,2,0.8,0.2,0.1,0.1,0.34,0.417,0.276,0.333,-0.3,-0.093
119,Kyle Singler,2011,33,79.5,80.5,82.1,106,30,136,23,129,228,10,8.25,8.75,10,11.22,3.21,262,2011,NBA,2,33,DET,23.055,F,us,Duke,2013,2018,356,21.9,6.5,2.9,0.8,0.6,0.3,0.418,0.458,0.362,0.786,10,0.062
120,Shelvin Mack,2011,34,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,8.25,9.25,17,11.23,3.18,270,2011,NBA,2,34,WAS,21.067,G,us,Butler,2012,2019,456,18.4,6.6,2,3.1,0.7,0.1,0.423,0.47,0.33,0.731,10.3,0.059
121,Tyler Honeycutt,2011,35,78.75,80.25,81,105,37,142,30,135,187,5.3,8.5,9.5,NA,11.68,3.07,424,2011,NBA,2,35,SAC,20.348,F,us,UCLA,2012,2013,24,5,1.2,1,0.4,0.2,0.2,0.314,0.333,0.2,0.714,-0.1,-0.049
122,Jordan Williams,2011,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,10,12.74,3.45,136,2011,NBA,2,36,NJN,20.26,F,us,Maryland,2012,2012,43,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,NA,0.652,1.3,0.101
123,Trey Thompkins,2011,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,15,11.72,3.41,399,2011,NBA,2,37,LAC,21.039,F,us,Georgia,2012,2012,24,5,2.4,1,0.1,0.1,0.1,0.393,0.417,0.308,0.714,0,0.004
124,Chandler Parsons,2011,38,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,8.25,10,4,11.05,3.29,121,2011,NBA,2,38,HOU,22.246,F,us,Florida,2012,2019,435,30.3,12.8,4.5,2.8,0.9,0.3,0.462,0.522,0.373,0.713,29,0.106
125,Jeremy Tyler,2011,39,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,9.25,9,10,11.26,3.29,383,2011,NBA,2,39,CHA,20.007,C,us,NA,2012,2014,104,9.9,3.6,2.6,0.2,0.2,0.4,0.45,0.451,0,0.557,0.3,0.014
126,Tristan Thompson,2011,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,9,10.92,3.26,78,2011,NBA,1,4,CLE,20.107,F-C,ca,Texas,2012,2020,568,27.9,9.3,8.6,0.9,0.5,0.7,0.52,0.521,0.091,0.608,40.8,0.124
127,Jon Leuer,2011,40,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,8.75,9.75,17,10.82,3.36,118,2011,NBA,2,40,MIL,22.045,F,us,Wisconsin,2012,2019,377,15.8,6.4,3.8,0.8,0.4,0.3,0.484,0.52,0.328,0.767,13.2,0.107
128,Darius Morris,2011,41,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,8.75,10,12,11,3.2,454,2011,NBA,2,41,LAL,20.176,G,us,Michigan,2012,2015,132,11.1,3.3,1,1.4,0.3,0,0.384,0.416,0.322,0.63,-0.3,-0.01
129,Malcolm Lee,2011,43,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,8.5,9.5,17,11.2,3.09,326,2011,NBA,2,43,CHI,21.037,G,us,UCLA,2012,2015,36,14.8,3.9,1.8,1.4,0.6,0.3,0.382,0.412,0.294,0.703,0.4,0.04
130,Charles Jenkins,2011,44,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,8.5,9,16,11.68,3.18,375,2011,NBA,2,44,GSW,22.12,G,us,Hofstra,2012,2013,110,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017
131,Andrew Goudelock,2011,46,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,8.25,9.25,4,10.33,3.1,400,2011,NBA,2,46,LAL,22.203,G,us,College of Charleston,2012,2016,49,9.7,4,0.7,0.5,0.2,0,0.393,0.429,0.345,0.875,0,0.003
132,Travis Leslie,2011,47,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,8.75,9.25,10,11,3.13,268,2011,NBA,2,47,LAC,21.091,G,us,Georgia,2012,2012,10,4.5,1.4,0.9,0.5,0.2,0.2,0.357,0.357,NA,0.444,0.1,0.06
133,Keith Benson,2011,48,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,9.5,11,12,11.88,3.35,462,2011,NBA,2,48,ATL,22.319,C,us,Oakland,2012,2012,3,3,0,1,0,0,0,0,0,NA,NA,0,-0.005
134,Josh Selby,2011,49,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,8.5,9,5,11.13,3.2,415,2011,NBA,2,49,MEM,20.093,G,us,Kansas,2012,2013,38,7.8,2.2,0.5,0.9,0.2,0,0.33,0.384,0.143,0.72,-0.7,-0.113
135,Jon Diebler,2011,51,77.25,78.5,78,99,35,134,28,127,197,8.5,8.25,8.25,2,10.94,3.37,488,2011,NBA,2,51,POR,23.006,G,us,Ohio State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,DeAndre Liggins,2011,53,77,78.25,83,103.5,31,134.5,27,130.5,202,5,8.75,10,6,NA,3.33,327,2011,NBA,2,53,ORL,23.089,G,us,Kentucky,2012,2018,177,10.8,2,1.4,0.7,0.6,0.2,0.402,0.432,0.352,0.549,1.6,0.04
137,E'Twaun Moore,2011,55,74.5,76,81.5,99.5,34.5,134,32,131.5,191,7.6,9,10,NA,11.12,3.31,273,2011,NBA,2,55,BOS,22.123,G-F,us,Purdue,2012,2020,516,21.6,8,2,1.8,0.7,0.2,0.458,0.491,0.392,0.744,13.5,0.058
138,Isaiah Thomas,2011,60,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,8.25,9,13,10.49,3.14,38,2011,NBA,2,60,SAC,22.141,G,us,Washington,2012,2020,488,29.3,18.6,2.5,5.1,0.9,0.1,0.437,0.487,0.36,0.874,45.5,0.152
139,Brandon Knight,2011,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,10,10.74,3.07,312,2011,NBA,1,8,DET,19.208,G,us,Kentucky,2012,2020,423,30,14.4,3.2,4,0.9,0.2,0.413,0.445,0.354,0.811,11.6,0.044
140,Kemba Walker,2011,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,7,10.87,3.16,99,2011,NBA,1,9,CHA,21.051,G,us,UConn,2012,2020,610,34.1,19.9,3.8,5.5,1.3,0.4,0.418,0.452,0.358,0.837,49.4,0.114
151,Anthony Davis,2012,1,81.25,82.5,89.5,108,NA,NA,NA,NA,222,7.9,9,8.5,NA,NA,NA,5,2012,NBA,1,1,NOH,19.114,F-C,us,Kentucky,2013,2020,472,34.6,23.8,10.5,2.1,1.4,2.4,0.516,0.533,0.311,0.797,73.2,0.215
152,Austin Rivers,2012,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,1,11.54,3.32,334,2012,NBA,1,10,NOH,19.336,G,us,Duke,2013,2020,490,24.5,9.2,2,2.4,0.7,0.2,0.417,0.46,0.347,0.637,9.1,0.036
153,Meyers Leonard,2012,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,19,11.34,3.41,114,2012,NBA,1,11,POR,20.127,C-F,us,Illinois,2013,2020,399,15.6,5.6,3.8,0.9,0.2,0.3,0.482,0.544,0.39,0.824,14.1,0.108
154,Jeremy Lamb,2012,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,5,10.98,3.25,102,2012,NBA,1,12,HOU,20.034,G-F,us,UConn,2013,2020,439,20.6,10.3,3.7,1.6,0.7,0.4,0.444,0.5,0.338,0.853,21.2,0.113
155,Kendall Marshall,2012,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,NA,12.03,3.23,380,2012,NBA,1,13,PHO,20.319,G,us,UNC,2013,2016,160,19.3,5,1.6,4.9,0.7,0.1,0.399,0.422,0.37,0.611,1,0.015
156,John Henson,2012,14,81,82.5,89,112,30,142,25.5,137.5,216,8.6,9.25,10,5,NA,NA,100,2012,NBA,1,14,MIL,21.188,C-F,us,UNC,2013,2020,406,20.1,7.8,5.4,1.1,0.5,1.5,0.539,0.544,0.267,0.569,19.3,0.114
158,Royce White,2012,16,79,80,84,104.5,NA,NA,NA,NA,261,10.6,9.5,11.5,NA,NA,NA,414,2012,NBA,1,16,HOU,21.085,F,us,Iowa State,2014,2014,3,3,0,0,0,0,0,0,0,NA,NA,0,-0.121
159,Tyler Zeller,2012,17,83.25,84.5,84,104.5,34,138.5,30,134.5,247,6.4,9,9.75,16,11.13,3.4,103,2012,NBA,1,17,DAL,22.168,F-C,us,UNC,2013,2019,412,17.6,7,4.4,0.9,0.3,0.6,0.509,0.512,0.286,0.764,17.1,0.113
160,Terrence Jones,2012,18,80.25,81.5,86.25,107,34.5,141.5,29.5,136.5,252,7.7,9,10,12,11.57,3.4,70,2012,NBA,1,18,HOU,20.176,F,us,Kentucky,2013,2019,234,23.8,10.4,5.7,1,0.6,1.2,0.501,0.539,0.297,0.621,14.7,0.127
161,Andrew Nicholson,2012,19,80.5,81.5,88,107,30.5,137.5,28.5,135.5,234,7.6,10,10.75,10,11.89,3.67,309,2012,NBA,1,19,ORL,22.208,F,ca,St. Bonaventure,2013,2017,285,14.3,6,3,0.4,0.3,0.3,0.467,0.498,0.321,0.773,3.8,0.045
162,Michael Kidd-Gilchrist,2012,2,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,9,10.25,6,11.77,3.18,146,2012,NBA,1,2,CHA,18.28,F,us,Kentucky,2013,2020,422,25.4,8.8,5.6,1.2,0.7,0.7,0.477,0.482,0.286,0.714,21.1,0.095
163,Jared Sullinger,2012,21,79.75,81,85.25,105.5,31,136.5,29.5,135,268,10.7,9.25,9.75,9,12.77,3.81,104,2012,NBA,1,21,BOS,20.121,F,us,Ohio State,2013,2017,269,24.3,10.8,7.5,1.8,0.7,0.6,0.436,0.476,0.272,0.723,15.3,0.113
164,Fab Melo,2012,22,82.75,84,86.5,110,31,141,29.5,139.5,255,9.2,9,10,9,12.14,3.44,364,2012,NBA,1,22,BOS,22.014,C,br,Syracuse,2013,2013,6,6,1.2,0.5,0,0.3,0.3,0.5,0.5,NA,0.25,0,0.021
165,John Jenkins,2012,23,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,9,9,10,11.36,3.37,253,2012,NBA,1,23,ATL,21.12,G,us,Vanderbilt,2013,2019,171,12.8,5,1.5,0.8,0.2,0.1,0.441,0.503,0.367,0.847,3,0.065
166,Jared Cunningham,2012,24,75.5,77,78.5,98,NA,NA,NA,NA,188,3.6,8.25,9,4,NA,NA,376,2012,NBA,1,24,CLE,21.043,G,us,Oregon State,2013,2016,84,7.2,2.3,0.7,0.5,0.3,0,0.347,0.369,0.306,0.674,0.2,0.017
167,Tony Wroten,2012,25,76.75,78,81,101,35.5,136.5,30,131,203,5.2,8,9,NA,10.75,3.24,443,2012,NBA,1,25,MEM,19.081,G,us,Washington,2013,2016,145,21.2,11.1,2.5,3,0.9,0.2,0.413,0.477,0.231,0.647,-1.3,-0.021
168,Miles Plumlee,2012,26,82.5,83.75,84.75,105.5,40.5,146,34,139.5,252,11.4,9.25,9,15,10.64,3.36,159,2012,NBA,1,26,IND,23.306,C-F,us,Duke,2013,2019,346,16.4,4.9,4.5,0.5,0.4,0.7,0.542,0.542,NA,0.543,10.6,0.09
169,Arnett Moultrie,2012,27,81.5,82.75,86.25,106.5,37.5,144,33.5,140,233,7.7,9.25,9.25,10,11.32,3.22,105,2012,NBA,1,27,MIA,21.228,F,us,Mississippi State,2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,NA,0.667,1.7,0.113
170,Perry Jones,2012,28,82.25,83.25,85.75,107,38.5,145.5,33,140,234,4.6,9.25,9.5,11,11.31,3.19,302,2012,NBA,1,28,OKC,20.283,F,us,Baylor,2013,2015,143,11.7,3.4,1.8,0.4,0.3,0.2,0.42,0.466,0.293,0.66,1.7,0.048
171,Marquis Teague,2012,29,73,74,79.25,96.5,40.5,137,32.5,129,180,6.3,8.25,7.75,8,10.65,3.19,427,2012,NBA,1,29,CHI,19.125,G,us,Kentucky,2013,2018,91,10,2.4,1,1.5,0.3,0.1,0.343,0.369,0.222,0.661,-0.9,-0.045
172,Bradley Beal,2012,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,8,10.95,3.28,126,2012,NBA,1,3,WAS,19.005,G,us,Florida,2013,2020,493,34.4,19.9,4,3.8,1.1,0.4,0.451,0.488,0.384,0.798,36.7,0.104
173,Festus Ezeli,2012,30,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,9,10.75,18,12.35,3.29,83,2012,NBA,1,30,GSW,22.256,C,ng,Vanderbilt,2013,2016,170,14.1,4.2,4.3,0.4,0.3,1,0.513,0.513,NA,0.557,5.9,0.119
176,Bernard James,2012,33,80.75,82,87,108.5,32.5,141,30,138.5,230,5,9,9.25,6,11.84,3.4,90,2012,NBA,2,33,CLE,27.148,C,us,Florida State,2013,2015,92,8.3,2.2,2.3,0.1,0.2,0.7,0.497,0.507,0,0.68,1.9,0.117
177,Jae Crowder,2012,34,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,9.5,10.5,20,11.45,3.37,128,2012,NBA,2,34,CLE,21.363,F,us,Marquette,2013,2020,548,24.3,9.4,3.9,1.4,1,0.3,0.422,0.513,0.337,0.778,28.6,0.103
178,Draymond Green,2012,35,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,9.5,9,11.01,3.4,52,2012,NBA,2,35,GSW,22.122,F,us,Michigan State,2013,2020,538,28.1,9.1,6.9,4.9,1.4,1.1,0.439,0.509,0.323,0.706,43.5,0.138
179,Orlando Johnson,2012,36,75.75,77.25,83.25,99,39.5,138.5,32,131,224,7,9,9.5,13,10.98,3.25,271,2012,NBA,2,36,SAC,23.115,G,us,University of California Santa Barbara,2013,2016,103,10.8,3.2,1.7,0.7,0.2,0.1,0.358,0.398,0.311,0.727,1.4,0.059
180,Quincy Acy,2012,37,78.5,79.75,86.75,106.5,37,143.5,32,138.5,224,7.1,9.5,11,13,10.48,3.28,216,2012,NBA,2,37,TOR,21.271,F-C,us,Baylor,2013,2019,337,16,4.9,3.5,0.6,0.4,0.4,0.444,0.506,0.35,0.759,8.7,0.078
181,Quincy Miller,2012,38,80.75,82,85.25,105,36,141,30.5,135.5,219,7.8,9.25,10.25,8,11.05,3.48,465,2012,NBA,2,38,DEN,19.227,F,us,Baylor,2013,2015,69,13.5,4.3,2.4,0.5,0.4,0.5,0.35,0.383,0.292,0.706,-0.1,-0.003
182,Khris Middleton,2012,39,78.75,80.25,82.75,103,31,134,28,131,216,7.8,9,9,4,11.45,3.47,129,2012,NBA,2,39,DET,20.326,F-G,us,Texas A&M,2013,2020,461,31.7,15.7,4.5,3.2,1.3,0.2,0.452,0.485,0.388,0.869,31.5,0.103
183,Dion Waiters,2012,4,74.5,76,79.25,98,NA,NA,NA,NA,221,8.5,8.5,9.5,NA,NA,NA,333,2012,NBA,1,4,CLE,20.206,G,us,Syracuse,2013,2019,409,28.4,13.2,2.7,2.8,0.9,0.3,0.412,0.443,0.347,0.692,8.7,0.036
184,Will Barton,2012,40,77,78,81.75,102.5,34,136.5,30,132.5,174,4.1,9,9.5,NA,12.5,3.6,217,2012,NBA,2,40,POR,21.179,G,us,Memphis,2013,2020,442,23.3,10.6,4,2.4,0.7,0.4,0.43,0.476,0.342,0.789,16.8,0.078
185,Tyshawn Taylor,2012,41,74.75,76,78.25,97.5,36.5,134,32,129.5,177,4.2,8.75,8.75,NA,11.48,3.2,420,2012,NBA,2,41,POR,22.083,G,us,Kansas,2013,2014,61,8,2.9,0.5,0.9,0.4,0,0.354,0.353,0.36,0.684,-0.9,-0.088
186,Doron Lamb,2012,42,75.25,76.75,78.75,98.5,33.5,132,29,127.5,199,6.7,8.5,8.75,2,11.12,3.41,397,2012,NBA,2,42,MIL,20.24,G,us,Kentucky,2013,2014,100,12.7,3.5,1,0.8,0.2,0,0.381,0.372,0.394,0.7,0.1,0.005
187,Mike Scott,2012,43,79.25,80.75,82.75,104,32.5,136.5,27,131,241,10.6,8.5,9,14,11.59,3.44,156,2012,NBA,2,43,ATL,23.353,F,us,Virginia,2013,2020,441,16.3,7.2,3.1,0.9,0.3,0.1,0.464,0.526,0.364,0.757,13.6,0.091
188,Kim English,2012,44,76.5,77.75,78.5,98,36.5,134.5,29,127,192,4.3,8.5,8.75,NA,10.59,3.33,365,2012,NBA,2,44,DET,23.283,G,us,Missouri,2013,2013,41,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.452,0.28,0.724,0.2,0.021
189,Darius Miller,2012,46,78,79.5,81,101,37,138,33,134,233,7.5,8.5,8.75,14,11.34,3.31,282,2012,NBA,2,46,NOH,22.105,F,us,Kentucky,2013,2019,253,20.4,6,1.7,1.4,0.4,0.2,0.418,0.495,0.382,0.83,5.9,0.055
190,Kevin Murphy,2012,47,77,78.25,78.75,99,36.5,135.5,31,130,194,5.8,8.5,8.5,11,10.97,3.42,406,2012,NBA,2,47,UTA,22.12,G,us,Tennessee Technological University,2013,2013,17,3.1,0.9,0.2,0.1,0.1,0,0.25,0.261,0.2,NA,-0.3,-0.272
191,Kyle O'Quinn,2012,49,80.5,82,88.75,106.5,31.5,138,31.5,138,241,8,9.5,10,NA,11.65,3.53,74,2012,NBA,2,49,ORL,22.1,F-C,us,Norfolk State,2013,2020,448,14.4,5.5,4.6,1.3,0.4,1,0.517,0.537,0.211,0.744,16.9,0.126
192,Thomas Robinson,2012,5,79.75,80.75,87.25,106,35.5,141.5,28.5,134.5,244,5,9.75,10.5,15,11.96,3.17,289,2012,NBA,1,5,SAC,21.109,F,us,Kansas,2013,2017,313,13.4,4.9,4.8,0.6,0.5,0.4,0.47,0.472,0,0.505,4.6,0.053
193,Kris Joseph,2012,51,78,79,83,104,35,139,28.5,132.5,215,8.6,9,9,6,NA,3.46,413,2012,NBA,2,51,BOS,23.199,F,ca,Syracuse,2013,2013,10,5.4,0.9,0.7,0.1,0.3,0,0.143,0.182,0,0.625,-0.1,-0.127
194,Darius Johnson-Odom,2012,55,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,8.75,8.75,17,10.76,3.21,403,2012,NBA,2,55,DAL,22.279,G,us,Marquette,2013,2014,7,3,0,0.9,0.3,0.1,0,0,0,0,0,-0.3,-0.597
195,Robbie Hummel,2012,58,79.25,80.5,80.5,102,30,132,27.5,129.5,218,9.4,8.5,9.5,13,11.56,3.41,249,2012,NBA,2,58,MIN,23.118,F,us,Purdue,2014,2015,98,14.3,3.9,2.7,0.5,0.3,0.1,0.418,0.469,0.343,0.867,1.9,0.066
196,Marcus Denmon,2012,59,74.25,75.25,77,94.5,40,134.5,33.5,128,188,6.6,8.25,9.75,8,10.82,3.19,497,2012,NBA,2,59,SAS,22.106,G,us,Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,Damian Lillard,2012,6,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,8.75,9.75,13,11.15,3.34,20,2012,NBA,1,6,POR,21.354,G,us,Weber State,2013,2020,555,36.3,23.6,4.2,6.4,1,0.3,0.434,0.481,0.369,0.889,71.6,0.171
198,Harrison Barnes,2012,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,15,10.93,3.16,175,2012,NBA,1,7,GSW,20.034,F,us,UNC,2013,2020,547,30.8,13.6,4.9,1.5,0.7,0.2,0.447,0.476,0.373,0.795,30.2,0.086
199,Terrence Ross,2012,8,78,79,79.25,100.5,37.5,138,31,131.5,197,3.2,8.75,10.25,2,11.78,3.28,227,2012,NBA,1,8,TOR,21.149,F-G,us,Washington,2013,2020,498,24.2,10.5,2.8,1.1,0.8,0.3,0.421,0.476,0.371,0.821,18.9,0.075
200,Andre Drummond,2012,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,10,10.83,3.39,28,2012,NBA,1,9,DET,18.327,C,us,UConn,2013,2020,549,30.9,14.2,13.8,1.2,1.3,1.6,0.544,0.549,0.137,0.451,57.4,0.162
213,Michael Carter-Williams,2013,11,76.75,77.75,79.25,101,41,142,31.5,132.5,184,4.4,7.5,8.5,8,10.68,3.22,343,2013,NBA,1,11,PHI,21.266,G,us,Syracuse,2014,2020,319,26.1,10.8,4.5,4.6,1.3,0.6,0.4,0.433,0.253,0.702,5.2,0.03
214,Steven Adams,2013,12,82.75,84,88.5,109.5,33,142.5,28.5,138,255,6.7,9.5,11,16,11.85,3.4,44,2013,NBA,1,12,OKC,19.347,C,nz,Pitt,2014,2020,471,26.8,9.6,7.4,1,0.9,1,0.585,0.587,0,0.551,38.8,0.147
