Player,Pk,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
Chase Budinger,44.0,78.25,79.0,79.0,101.0,38.5,139.5,29.5,130.5,206.0,10.0,,,10.0,11.08,3.24,194,2009,DET,21.039,F,us,Arizona,2010.0,2016.0,407.0,19.7,7.9,3.0,1.2,0.5,0.2,0.43,0.486,0.35200000000000004,0.797,13.9,0.083
Danny Green,46.0,77.25,78.5,82.0,103.0,33.0,136.0,29.0,132.0,208.0,5.6,,,15.0,11.3,3.3,82,2009,CLE,22.009,G-F,us,UNC,2010.0,2020.0,626.0,25.5,9.0,3.5,1.6,1.0,0.8,0.425,0.457,0.405,0.815,39.8,0.12
Gani Lawal,46.0,79.75,81.0,84.0,106.0,34.5,140.5,30.0,136.0,229.0,7.2,8.5,10.0,17.0,11.93,3.34,455,2010,PHO,21.234,F,us,Georgia Tech,2011.0,2011.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-0.009000000000000001
A.J. Price,52.0,72.5,74.0,75.75,97.0,31.0,128.0,26.0,123.0,193.0,12.4,,,11.0,10.99,3.22,272,2009,IND,22.267,G,us,UConn,2010.0,2015.0,261.0,15.1,5.8,1.4,2.2,0.5,0.0,0.38,0.439,0.316,0.742,4.7,0.057999999999999996
Luke Harangody,52.0,78.25,80.0,81.75,106.0,31.0,137.0,27.0,133.0,240.0,11.2,8.75,9.75,23.0,11.15,3.33,301,2010,BOS,22.179000000000002,F,us,Notre Dame,2011.0,2012.0,70.0,12.4,3.6,2.8,0.5,0.3,0.3,0.376,0.44,0.24100000000000002,0.737,0.9,0.048
Jonny Flynn,6.0,71.25,72.75,76.0,95.5,40.0,135.5,33.0,128.5,196.0,6.3,,,10.0,10.86,3.23,451,2009,MIN,20.144000000000002,G,us,Syracuse,2010.0,2012.0,163.0,22.9,9.2,1.9,3.9,0.7,0.0,0.4,0.42,0.33799999999999997,0.809,-1.1,-0.015
Stephen Curry,7.0,74.0,75.25,75.5,97.0,35.5,132.5,29.5,126.5,181.0,5.7,,,10.0,11.07,3.28,7,2009,GSW,21.108,G,us,Davidson,2010.0,2020.0,698.0,34.3,23.5,4.5,6.6,1.7,0.2,0.47600000000000003,0.515,0.435,0.905,103.1,0.20600000000000002
Jordan Hill,8.0,81.25,82.25,85.5,108.0,35.0,143.0,31.0,139.0,232.0,6.0,,,11.0,12.23,3.3,130,2009,NYK,21.339000000000002,C-F,us,Arizona,2010.0,2017.0,409.0,18.8,7.9,5.8,0.8,0.4,0.7,0.49700000000000005,0.499,0.136,0.6990000000000001,16.4,0.102
John Wall,1.0,74.75,76.0,81.25,101.5,39.0,140.5,30.0,131.5,196.0,5.6,8.25,9.5,,10.84,3.14,125,2010,WAS,19.296,G,us,Kentucky,2011.0,2019.0,573.0,35.9,19.0,4.3,9.2,1.7,0.7,0.433,0.457,0.324,0.7809999999999999,44.3,0.10400000000000001
Paul George,10.0,79.75,80.75,83.25,107.0,,,,,214.0,5.0,8.5,9.0,4.0,,,35,2010,IND,20.058,F,us,Fresno State,2011.0,2019.0,604.0,33.8,19.8,6.4,3.3,1.8,0.4,0.433,0.47,0.37799999999999995,0.8440000000000001,65.2,0.153
Cole Aldrich,11.0,81.0,83.25,88.75,111.5,28.0,139.5,23.0,134.5,236.0,8.5,9.0,9.25,10.0,11.48,3.35,55,2010,NOH,21.241,C,us,Kansas,2011.0,2018.0,339.0,10.0,3.1,3.3,0.5,0.4,0.7,0.527,0.527,,0.738,9.6,0.135
Xavier Henry,12.0,77.25,78.5,83.25,105.0,36.5,141.5,28.5,133.5,210.0,4.7,8.75,10.0,8.0,11.1,3.18,384,2010,MEM,19.105999999999998,G,be,Kansas,2011.0,2015.0,185.0,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,0.8,0.013000000000000001
Ed Davis,13.0,81.0,81.75,84.0,108.0,36.0,144.0,31.0,139.0,227.0,10.0,9.25,10.0,,11.7,3.21,36,2010,TOR,21.024,F,us,UNC,2011.0,2020.0,646.0,20.2,6.5,6.8,0.8,0.5,0.8,0.569,0.57,0.0,0.583,41.4,0.153
Patrick Patterson,14.0,80.0,81.25,85.25,107.0,33.5,140.5,28.5,135.5,240.0,5.3,9.25,10.25,17.0,11.14,3.25,134,2010,HOU,21.107,F,us,Kentucky,2011.0,2020.0,629.0,21.8,6.9,4.1,1.1,0.6,0.5,0.449,0.499,0.36700000000000005,0.748,28.9,0.10099999999999999
Larry Sanders,15.0,81.25,82.5,89.75,112.0,28.0,140.0,25.5,137.5,222.0,4.6,9.75,11.0,7.0,12.49,3.27,117,2010,MIL,21.22,C-F,us,Virginia Commonwealth,2011.0,2017.0,238.0,19.5,6.4,5.7,0.7,0.6,1.8,0.48,0.48100000000000004,0.0,0.5529999999999999,10.3,0.107
Luke Babbitt,16.0,79.5,80.75,83.25,104.5,37.5,142.0,29.5,134.0,218.0,5.6,8.5,10.0,15.0,10.98,3.4,251,2010,MIN,21.009,F,us,Nevada,2011.0,2018.0,381.0,14.0,4.8,2.2,0.6,0.2,0.2,0.408,0.41700000000000004,0.402,0.747,7.2,0.065
Eric Bledsoe,18.0,72.25,73.5,79.5,98.0,,,,,192.0,5.6,8.5,9.75,9.0,,,108,2010,OKC,20.202,G,us,Kentucky,2011.0,2020.0,576.0,27.9,14.1,3.9,4.8,1.5,0.5,0.45399999999999996,0.503,0.33399999999999996,0.7929999999999999,37.3,0.111
Avery Bradley,19.0,74.0,75.25,79.25,98.5,37.5,136.0,31.5,130.0,180.0,4.0,8.25,9.5,2.0,11.47,3.14,300,2010,BOS,19.215,G,us,Texas,2011.0,2020.0,528.0,28.6,12.0,3.0,1.8,1.0,0.2,0.436,0.47100000000000003,0.364,0.777,15.0,0.048
