Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
71,2013,NBA,1,13,DAL,Kelly Olynyk\olynyke01,22.075,C-F,ca,Gonzaga,2014,2020,439,21.6,9.8,4.9,1.9,0.7,0.5,0.476,0.549,0.365,0.766,25.1,0.127
72,2016,NBA,2,36,MIL,Malcolm Brogdon\brogdma01,23.2,G,us,Virginia,2017,2020,193,28.2,13.1,3.6,3.8,0.9,0.2,0.483,0.519,0.405,0.902,14.5,0.127
73,2009,NBA,1,18,MIN,Ty Lawson\lawsoty01,21.24,G,us,UNC,2010,2017,551,29.2,12.7,2.7,6,1.2,0.1,0.46,0.493,0.359,0.77,42.1,0.126
74,2012,NBA,2,49,ORL,Kyle O'Quinn\oquinky01,22.1,F-C,us,Norfolk State,2013,2020,448,14.4,5.5,4.6,1.3,0.4,1,0.517,0.537,0.211,0.744,16.9,0.126
75,2009,NBA,1,26,CHI,Taj Gibson\gibsota01,24.007,F,us,USC,2010,2020,742,25.8,9.8,6.4,1,0.6,1.1,0.511,0.517,0.206,0.709,49.7,0.125
76,2014,NBA,1,30,SAS,Kyle Anderson\anderky01,20.284,F-G,us,UCLA,2015,2020,305,19.6,5.4,3.9,1.9,1,0.5,0.493,0.52,0.322,0.702,15.6,0.125
77,2017,NBA,2,35,ORL,Ivan Rabb\rabbiv01,20.143,F,us,Cal,2018,2019,85,14.6,5.7,4.3,1,0.3,0.3,0.555,0.57,0.2,0.743,3.2,0.125
78,2011,NBA,1,4,CLE,Tristan Thompson\thomptr01,20.107,F-C,ca,Texas,2012,2020,568,27.9,9.3,8.6,0.9,0.5,0.7,0.52,0.521,0.091,0.608,40.8,0.124
79,2011,NBA,1,16,PHI,Nikola Vučević\vucevni01,20.247,C,ch,USC,2012,2020,542,30.1,15.7,10.1,2.4,0.9,0.9,0.501,0.515,0.327,0.743,42.2,0.124
80,2012,NBA,2,53,LAC,Furkan Aldemir\aldemfu01,20.329,F-C,tr,,2015,2015,41,13.2,2.3,4.3,0.7,0.4,0.4,0.513,0.548,0,0.481,1.4,0.122
81,2016,NBA,1,11,ORL,Domantas Sabonis\sabondo01,20.056,F-C,us,Gonzaga,2017,2020,234,23.3,10.6,6.9,2,0.6,0.4,0.515,0.537,0.345,0.727,13.8,0.121
82,2009,NBA,2,46,CLE,Danny Green\greenda02,22.009,G-F,us,UNC,2010,2020,626,25.5,9,3.5,1.6,1,0.8,0.425,0.457,0.405,0.815,39.8,0.12
83,2012,NBA,1,30,GSW,Festus Ezeli\ezelife01,22.256,C,ng,Vanderbilt,2013,2016,170,14.1,4.2,4.3,0.4,0.3,1,0.513,0.513,,0.557,5.9,0.119
84,2013,NBA,1,6,NOH,Nerlens Noel\noelne01,19.083,C-F,us,Kentucky,2015,2020,306,22.7,8.1,6.4,1.2,1.4,1.4,0.525,0.526,0.25,0.634,17.2,0.119
85,2009,NBA,1,19,ATL,Jeff Teague\teaguje01,21.02,G,us,Wake Forest,2010,2020,717,27.7,12.7,2.5,5.8,1.2,0.3,0.446,0.475,0.355,0.842,48.9,0.118
86,2014,NBA,2,43,ATL,Edy Tavares\tavarwa01,22.101,C,cv,,2016,2017,13,7.8,2.5,2.5,0.3,0.1,0.9,0.625,0.625,,0.273,0.2,0.118
87,2015,NBA,1,6,SAC,Willie Cauley-Stein\caulewi01,21.316,F-C,us,Kentucky,2016,2020,298,24,10.1,6.4,1.6,0.9,0.8,0.535,0.537,0.222,0.612,17.6,0.118
88,2017,NBA,1,3,BOS,Jayson Tatum\tatumja01,19.116,F,us,Duke,2018,2020,164,30.9,15,5.6,1.9,1.1,0.7,0.458,0.481,0.405,0.837,12.5,0.118
89,2010,NBA,1,5,SAC,DeMarcus Cousins\couside01,19.32,C-F,us,Kentucky,2011,2019,565,32,21.2,10.9,3.2,1.4,1.2,0.461,0.477,0.332,0.737,44.1,0.117
90,2012,NBA,2,33,CLE,Bernard James\jamesbe01,27.148,C,us,Florida State,2013,2015,92,8.3,2.2,2.3,0.1,0.2,0.7,0.497,0.507,0,0.68,1.9,0.117
91,2010,NBA,1,23,MIN,Trevor Booker\booketr01,22.217,F,us,Clemson,2011,2018,532,20.4,6.9,5.5,1.1,0.7,0.5,0.515,0.534,0.305,0.636,26.2,0.116
92,2011,NBA,2,45,NOH,Josh Harrellson\harrejo01,22.136,C,us,Kentucky,2012,2014,75,11.8,3.5,3,0.3,0.4,0.5,0.438,0.497,0.347,0.629,2.1,0.116
93,2009,NBA,1,21,NOH,Darren Collison\collida01,21.312,G,us,UCLA,2010,2019,708,29.4,12.5,2.7,5,1.2,0.1,0.471,0.495,0.394,0.853,49.9,0.115
94,2009,NBA,2,55,POR,Patty Mills\millspa02,20.323,G,au,Saint Mary's,2010,2020,611,19,8.4,1.7,2.4,0.6,0.1,0.431,0.477,0.392,0.848,27.8,0.115
95,2011,NBA,1,19,CHA,Tobias Harris\harrito02,18.347,F,us,Tennessee,2012,2020,551,30.4,15.5,6,1.9,0.7,0.5,0.471,0.513,0.364,0.822,40.1,0.115
96,2013,NBA,1,21,UTA,Gorgui Dieng\dienggo01,23.166,C,sn,Louisville,2014,2020,454,22.6,8,6.2,1.4,0.8,1,0.506,0.519,0.335,0.789,24.6,0.115
97,2013,NBA,2,44,DAL,Mike Muscala\muscami01,22.002,F-C,us,Bucknell,2014,2020,312,15.9,5.7,3.3,0.9,0.4,0.5,0.462,0.545,0.356,0.843,11.8,0.115
98,2017,NBA,1,29,SAS,Derrick White\whitede01,22.361,G,us,Colorado,2018,2020,90,22.3,8.9,3.2,3.1,0.8,0.6,0.486,0.527,0.371,0.77,4.8,0.115
99,2011,NBA,1,9,CHA,Kemba Walker\walkeke02,21.051,G,us,UConn,2012,2020,610,34.1,19.9,3.8,5.5,1.3,0.4,0.418,0.452,0.358,0.837,49.4,0.114
100,2012,NBA,1,14,MIL,John Henson\hensojo01,21.188,C-F,us,UNC,2013,2020,406,20.1,7.8,5.4,1.1,0.5,1.5,0.539,0.544,0.267,0.569,19.3,0.114
101,2009,NBA,2,38,POR,Jon Brockman\brockjo01,22.103,F,us,Washington,2010,2012,150,10.5,2.1,3.1,0.3,0.2,0.1,0.488,0.49,0,0.618,3.7,0.113
102,2012,NBA,1,12,HOU,Jeremy Lamb\lambje01,20.034,G-F,us,UConn,2013,2020,439,20.6,10.3,3.7,1.6,0.7,0.4,0.444,0.5,0.338,0.853,21.2,0.113
103,2012,NBA,1,17,DAL,Tyler Zeller\zellety01,22.168,F-C,us,UNC,2013,2019,412,17.6,7,4.4,0.9,0.3,0.6,0.509,0.512,0.286,0.764,17.1,0.113
104,2012,NBA,1,21,BOS,Jared Sullinger\sullija01,20.121,F,us,Ohio State,2013,2017,269,24.3,10.8,7.5,1.8,0.7,0.6,0.436,0.476,0.272,0.723,15.3,0.113
105,2012,NBA,1,27,MIA,Arnett Moultrie\moultar01,21.228,F,us,Mississippi State,2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,,0.667,1.7,0.113
106,2017,NBA,1,18,IND,T.J. Leaf\leaftj01,20.058,F,il,UCLA,2018,2020,116,9,3.5,2,0.3,0.1,0.2,0.499,0.541,0.354,0.633,2.5,0.113
107,2009,NBA,1,9,TOR,DeMar DeRozan\derozde01,19.327,G-F,us,USC,2010,2020,758,34.1,19.9,4.3,3.4,1,0.3,0.452,0.47,0.283,0.827,60.6,0.112
108,2010,NBA,1,18,OKC,Eric Bledsoe\bledser01,20.202,G,us,Kentucky,2011,2020,576,27.9,14.1,3.9,4.8,1.5,0.5,0.454,0.503,0.334,0.793,37.3,0.111
109,2014,NBA,1,16,CHI,Jusuf Nurkić\nurkiju01,19.312,C,ba,,2015,2019,310,22.9,11.6,8,1.9,0.8,1.3,0.491,0.498,0.071,0.666,16.4,0.111
110,2011,NBA,1,11,GSW,Klay Thompson\thompkl01,21.14,G-F,us,Washington State,2012,2019,615,33.1,19.5,3.5,2.3,0.9,0.5,0.459,0.491,0.419,0.848,46.8,0.11
111,2016,NBA,1,23,BOS,Ante Žižić\zizican01,19.175,F-C,hr,,2018,2019,91,14.2,6.4,4.2,0.6,0.2,0.4,0.583,0.583,,0.708,3,0.11
112,2009,NBA,2,39,DET,Jonas Jerebko\jerebjo01,22.121,F,se,,2010,2019,635,17.8,6.2,4,0.8,0.5,0.2,0.457,0.507,0.363,0.77,25.8,0.109
113,2009,NBA,2,42,LAL,Patrick Beverley\beverpa01,20.353,G,us,Arkansas,2013,2020,387,28.4,9,4.3,3.4,1.2,0.4,0.411,0.454,0.375,0.767,24.8,0.108
114,2012,NBA,1,11,POR,Meyers Leonard\leoname01,20.127,C-F,us,Illinois,2013,2020,399,15.6,5.6,3.8,0.9,0.2,0.3,0.482,0.544,0.39,0.824,14.1,0.108
115,2014,NBA,1,21,OKC,Mitch McGary\mcgarmi01,22.025,F-C,us,Michigan,2015,2016,52,10.7,4.4,3.5,0.3,0.3,0.3,0.527,0.544,0,0.58,1.3,0.108
116,2017,NBA,2,36,PHI,Jonah Bolden\boldejo01,21.177,F,au,,2019,2020,45,14.2,4.6,3.7,0.9,0.4,0.9,0.497,0.701,0.354,0.481,1.4,0.108
117,2010,NBA,1,15,MIL,Larry Sanders\sandela01,21.22,C-F,us,Virginia Commonwealth,2011,2017,238,19.5,6.4,5.7,0.7,0.6,1.8,0.48,0.481,0,0.553,10.3,0.107
118,2011,NBA,2,40,MIL,Jon Leuer\leuerjo01,22.045,F,us,Wisconsin,2012,2019,377,15.8,6.4,3.8,0.8,0.4,0.3,0.484,0.52,0.328,0.767,13.2,0.107
119,2012,NBA,2,32,WAS,Tomáš Satoranský\satorto01,20.247,G,cz,,2017,2020,217,21.7,6.6,2.8,3.8,0.8,0.2,0.485,0.519,0.399,0.799,10.5,0.107
120,2013,NBA,1,10,POR,CJ McCollum\mccolcj01,21.287,G,us,Lehigh,2014,2020,417,30.1,17.9,3.1,2.9,0.9,0.3,0.454,0.48,0.401,0.841,27.8,0.107
121,2011,NBA,2,38,HOU,Chandler Parsons\parsoch01,22.246,F,us,Florida,2012,2019,435,30.3,12.8,4.5,2.8,0.9,0.3,0.462,0.522,0.373,0.713,29,0.106
122,2009,NBA,1,27,MEM,DeMarre Carroll\carrode01,22.339,F,us,Missouri,2010,2020,556,24.1,9.1,4.3,1.3,0.9,0.3,0.43,0.485,0.36,0.743,29.3,0.105
123,2015,NBA,2,36,MIN,Rakeem Christmas\chrisra01,23.212,F,us,Syracuse,2016,2017,30,7.5,2.1,1.9,0.1,0.1,0.2,0.467,0.467,,0.724,0.5,0.105
124,2016,NBA,1,16,BOS,Guerschon Yabusele\yabusgu01,20.194,F,fr,,2018,2019,74,6.6,2.3,1.4,0.4,0.2,0.2,0.442,0.548,0.323,0.682,1.1,0.105
125,2010,NBA,1,1,WAS,John Wall\walljo01,19.296,G,us,Kentucky,2011,2019,573,35.9,19,4.3,9.2,1.7,0.7,0.433,0.457,0.324,0.781,44.3,0.104
126,2012,NBA,1,3,WAS,Bradley Beal\bealbr01,19.005,G,us,Florida,2013,2020,493,34.4,19.9,4,3.8,1.1,0.4,0.451,0.488,0.384,0.798,36.7,0.104
127,2014,NBA,2,38,DET,Spencer Dinwiddie\dinwisp01,21.086,G,us,Colorado,2015,2020,259,24.4,11.1,2.6,4.5,0.7,0.3,0.407,0.477,0.32,0.8,13.7,0.104
128,2012,NBA,2,34,CLE,Jae Crowder\crowdja01,21.363,F,us,Marquette,2013,2020,548,24.3,9.4,3.9,1.4,1,0.3,0.422,0.513,0.337,0.778,28.6,0.103
129,2012,NBA,2,39,DET,Khris Middleton\middlkh01,20.326,F-G,us,Texas A&M,2013,2020,461,31.7,15.7,4.5,3.2,1.3,0.2,0.452,0.485,0.388,0.869,31.5,0.103
130,2009,NBA,1,8,NYK,Jordan Hill\hilljo01,21.339,C-F,us,Arizona,2010,2017,409,18.8,7.9,5.8,0.8,0.4,0.7,0.497,0.499,0.136,0.699,16.4,0.102
131,2015,NBA,2,41,BRK,Pat Connaughton\connapa01,22.175,G,us,Notre Dame,2016,2020,221,14.9,4.7,2.3,1.2,0.3,0.2,0.438,0.543,0.349,0.798,7,0.102
132,2017,NBA,1,13,DEN,Donovan Mitchell\mitchdo01,20.293,G,us,Louisville,2018,2020,163,33.6,22.2,4,3.9,1.5,0.4,0.438,0.486,0.353,0.804,11.7,0.102
133,2009,NBA,1,5,MIN,Ricky Rubio\rubiori01,18.252,G,es,,2012,2020,503,30.9,11.1,4.2,7.7,1.9,0.1,0.387,0.413,0.322,0.838,32.7,0.101
134,2010,NBA,1,14,HOU,Patrick Patterson\pattepa01,21.107,F,us,Kentucky,2011,2020,629,21.8,6.9,4.1,1.1,0.6,0.5,0.449,0.499,0.367,0.748,28.9,0.101
135,2011,NBA,1,24,OKC,Reggie Jackson\jacksre01,21.073,G,it,Boston College,2012,2020,532,25.2,12.9,3,4.4,0.7,0.1,0.428,0.471,0.332,0.859,28.3,0.101
136,2011,NBA,2,36,NJN,Jordan Williams\willijo03,20.26,F,us,Maryland,2012,2012,43,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.101
137,2017,NBA,2,43,HOU,Isaiah Hartenstein\harteis01,19.053,F,us,,2019,2019,28,7.9,1.9,1.7,0.5,0.3,0.4,0.488,0.514,0.333,0.786,0.5,0.101
138,2015,NBA,1,4,NYK,Kristaps Porziņģis\porzikr01,19.332,F-C,lv,,2016,2020,192,31,17.9,7.1,1.4,0.7,2.1,0.437,0.467,0.362,0.8,12.5,0.1
139,2009,NBA,1,2,MEM,Hasheem Thabeet\thabeha01,22.135,C,tz,UConn,2010,2014,224,10.5,2.2,2.7,0.1,0.3,0.8,0.567,0.567,,0.578,4.8,0.099
140,2013,NBA,2,50,ATL,James Ennis\ennisja01,23.002,F,us,Cal State Long Beach,2015,2020,283,20.5,6.5,3.2,0.9,0.6,0.3,0.457,0.536,0.356,0.794,12,0.099
141,2016,NBA,1,15,DEN,Juan Hernangómez\hernaju01,20.274,F,es,,2017,2020,159,15.7,5,3.2,0.6,0.4,0.3,0.436,0.526,0.366,0.764,5.1,0.099
142,2017,NBA,2,56,BOS,Jabari Bird\birdja01,22.36,G,us,Cal,2018,2018,13,8.8,3,1.5,0.6,0.2,0.1,0.577,0.632,0.429,0.462,0.2,0.098
143,2010,NBA,2,35,WAS,Nemanja Bjelica\bjeline01,22.051,F,rs,,2016,2020,276,20.3,7.1,4.4,1.5,0.6,0.4,0.463,0.534,0.386,0.757,11.3,0.097
144,2009,NBA,2,41,MIL,Jodie Meeks\meeksjo01,21.314,G,us,Kentucky,2010,2019,539,22.5,9.3,2.1,1.1,0.8,0.1,0.42,0.471,0.373,0.879,24.3,0.096
145,2011,NBA,2,50,PHI,Lavoy Allen\allenla01,22.144,F-C,us,Temple,2012,2017,388,17.8,4.8,4.8,1,0.3,0.6,0.471,0.474,0.133,0.682,13.8,0.096
146,2012,NBA,1,2,CHA,Michael Kidd-Gilchrist\kiddgmi01,18.28,F,us,Kentucky,2013,2020,422,25.4,8.8,5.6,1.2,0.7,0.7,0.477,0.482,0.286,0.714,21.1,0.095
147,2014,NBA,2,39,PHI,Jerami Grant\grantje01,20.111,F,us,Syracuse,2015,2020,389,24.1,8.8,3.9,1,0.6,1.2,0.461,0.522,0.331,0.654,18.3,0.094
148,2015,NBA,2,40,MIA,Josh Richardson\richajo01,21.288,G,us,Tennessee,2016,2020,264,30.7,12.1,3.2,2.9,1.2,0.7,0.425,0.468,0.365,0.823,15.9,0.094
149,2010,NBA,1,29,ORL,Daniel Orton\ortonda01,19.327,C-F,us,Kentucky,2012,2014,51,10.6,2.8,2.5,0.5,0.4,0.5,0.485,0.49,0,0.597,1,0.093
150,2011,NBA,1,7,SAC,Bismack Biyombo\biyombi01,18.303,C-F,cd,,2012,2020,587,20.2,4.9,6.2,0.5,0.3,1.4,0.519,0.519,0,0.57,23,0.093
151,2014,NBA,1,7,LAL,Julius Randle\randlju01,19.214,F-C,us,Kentucky,2015,2020,318,28.6,15.3,8.9,2.8,0.6,0.5,0.5,0.522,0.294,0.72,17.6,0.093
152,2013,NBA,1,26,MIN,Andre Roberson\roberan03,21.211,G-F,us,Colorado,2014,2018,295,22.5,4.6,4,0.9,0.9,0.7,0.482,0.609,0.257,0.467,12.7,0.092
153,2014,NBA,1,4,ORL,Aaron Gordon\gordoaa01,18.288,F,us,Arizona,2015,2020,347,27.9,12.4,6.2,2.2,0.8,0.6,0.45,0.511,0.321,0.705,18.5,0.092
154,2009,NBA,1,16,CHI,James Johnson\johnsja01,22.131,F,us,Wake Forest,2010,2020,603,20.7,8,3.6,2.1,0.8,0.9,0.477,0.532,0.305,0.695,23.6,0.091
155,2011,NBA,1,29,SAS,Cory Joseph\josepco01,19.312,G,ca,Texas,2012,2020,535,21.4,6.9,2.6,2.8,0.8,0.2,0.443,0.477,0.326,0.764,21.8,0.091
156,2012,NBA,2,43,ATL,Mike Scott\scottmi01,23.353,F,us,Virginia,2013,2020,441,16.3,7.2,3.1,0.9,0.3,0.1,0.464,0.526,0.364,0.757,13.6,0.091
157,2012,NBA,2,45,PHI,Justin Hamilton\hamilju01,22.094,C,us,LSU,2014,2017,113,17.4,6.1,3.6,0.8,0.5,0.6,0.464,0.56,0.309,0.798,3.7,0.091
158,2011,NBA,1,14,HOU,Marcus Morris\morrima03,21.299,F,us,Kansas,2012,2020,552,26.6,11.6,4.6,1.5,0.7,0.3,0.431,0.474,0.362,0.75,27.4,0.09
159,2012,NBA,1,26,IND,Miles Plumlee\plumlmi01,23.306,C-F,us,Duke,2013,2019,346,16.4,4.9,4.5,0.5,0.4,0.7,0.542,0.542,,0.543,10.6,0.09
160,2013,NBA,1,5,PHO,Alex Len\lenal01,20.016,C,ua,Maryland,2014,2020,417,19.9,7.9,6.3,0.8,0.4,1,0.485,0.501,0.339,0.695,15.5,0.09
161,2015,NBA,1,24,CLE,Tyus Jones\jonesty01,19.05,G,us,Duke,2016,2020,252,17.8,5.1,1.5,3.4,1,0.1,0.417,0.463,0.327,0.807,8.4,0.09
162,2017,NBA,1,17,MIL,D.J. Wilson\wilsodj01,21.129,F,us,Michigan,2018,2020,72,13.3,4.2,3.3,0.8,0.3,0.3,0.421,0.478,0.363,0.551,1.8,0.09
163,2017,NBA,1,23,TOR,OG Anunoby\anunoog01,19.345,F,gb,Indiana,2018,2020,147,20.7,6.7,2.9,0.7,0.7,0.3,0.468,0.59,0.356,0.598,5.7,0.09
164,2010,NBA,2,41,MIA,Jarvis Varnado\varnaja01,22.12,F,us,Mississippi State,2013,2014,37,10.7,2.9,1.9,0.4,0.3,0.8,0.582,0.582,,0.518,0.7,0.089
165,2013,NBA,1,25,LAC,Reggie Bullock\bullore01,22.109,G-F,us,UNC,2014,2019,272,19.3,6.8,2.1,1.1,0.5,0.1,0.434,0.495,0.392,0.828,9.7,0.089
166,2013,NBA,2,55,MEM,Joffrey Lauvergne\lauvejo01,21.276,C-F,fr,,2015,2018,208,13.6,5.6,3.8,0.9,0.3,0.2,0.479,0.52,0.285,0.719,5.2,0.089
167,2014,NBA,1,23,UTA,Rodney Hood\hoodro01,21.254,G-F,us,Duke,2015,2020,326,27.3,12.6,2.9,1.9,0.8,0.2,0.424,0.466,0.369,0.84,16.6,0.089
168,2017,NBA,1,12,DET,Luke Kennard\kennalu01,21.003,G,us,Duke,2018,2020,143,21.8,9,2.6,1.8,0.5,0.2,0.441,0.473,0.406,0.856,5.8,0.089
169,2010,NBA,1,6,GSW,Ekpe Udoh\udohek01,23.041,C-F,us,Baylor,2011,2019,384,14.8,3.5,2.9,0.7,0.5,1.1,0.453,0.455,0,0.718,10.4,0.088
170,2016,NBA,1,19,DEN,Malik Beasley\beaslma01,19.214,G,us,Florida State,2017,2020,171,16,7.3,1.7,0.8,0.5,0.1,0.456,0.527,0.39,0.795,5,0.088
171,2013,NBA,1,2,ORL,Victor Oladipo\oladivi01,21.059,G,us,Indiana,2014,2019,402,33.2,17.5,4.6,4,1.7,0.5,0.443,0.482,0.352,0.793,24.2,0.087
172,2015,NBA,1,16,BOS,Terry Rozier\roziete01,21.105,G,us,Louisville,2016,2020,278,20.2,7.9,3.6,2.4,0.7,0.2,0.382,0.407,0.354,0.774,10.2,0.087
173,2016,NBA,2,45,BOS,Demetrius Jackson\jacksde01,21.295,G,us,Notre Dame,2017,2019,26,5.2,1.8,0.7,0.7,0.3,0,0.486,0.609,0.286,0.667,0.2,0.087
174,2009,NBA,1,17,PHI,Jrue Holiday\holidjr01,19.018,G,us,UCLA,2010,2020,656,33.1,15.6,3.8,6.4,1.5,0.5,0.452,0.486,0.355,0.784,39.1,0.086
175,2012,NBA,1,7,GSW,Harrison Barnes\barneha02,20.034,F,us,UNC,2013,2020,547,30.8,13.6,4.9,1.5,0.7,0.2,0.447,0.476,0.373,0.795,30.2,0.086
176,2013,NBA,2,32,OKC,Álex Abrines\abrinal01,19.335,G-F,es,,2017,2019,174,16,5.3,1.4,0.5,0.5,0.1,0.387,0.443,0.368,0.88,5,0.086
177,2014,NBA,1,19,CHI,Gary Harris\harriga01,19.29,G,us,Michigan State,2015,2020,318,28.5,12.4,2.6,2.1,1.2,0.2,0.459,0.524,0.365,0.801,16.2,0.086
178,2014,NBA,2,33,CLE,Joe Harris\harrijo01,22.299,G,us,Virginia,2015,2020,268,22.8,9.5,2.9,1.5,0.4,0.2,0.478,0.538,0.432,0.796,10.9,0.086
179,2016,NBA,1,7,DEN,Jamal Murray\murraja01,19.125,G,ca,Kentucky,2017,2020,244,28.6,14.9,3.5,3.4,0.8,0.3,0.434,0.482,0.361,0.88,12.5,0.086
180,2009,NBA,1,10,MIL,Brandon Jennings\jennibr01,19.28,G,us,,2010,2018,555,30.3,14.1,3,5.7,1.2,0.2,0.387,0.412,0.345,0.796,29.9,0.085
181,2009,NBA,2,40,CHA,Derrick Brown\brownde04,21.296,F,us,Xavier,2010,2012,171,14.9,5.2,2.4,0.7,0.5,0.2,0.515,0.528,0.317,0.637,4.5,0.085
182,2009,NBA,2,43,MIA,Marcus Thornton\thornma01,22.026,G,us,LSU,2010,2017,483,23.4,11.9,2.8,1.4,0.8,0.1,0.425,0.471,0.358,0.83,20,0.085
183,2013,NBA,1,14,UTA,Shabazz Muhammad\muhamsh01,20.231,F-G,us,UCLA,2014,2018,278,17.2,9,2.8,0.5,0.3,0.1,0.473,0.51,0.319,0.751,8.5,0.085
184,2014,NBA,1,14,PHO,T.J. Warren\warretj01,20.299,F,us,NC State,2015,2020,267,27.9,14.4,4.1,1.1,1,0.5,0.496,0.524,0.333,0.765,13.1,0.085
185,2015,NBA,1,22,CHI,Bobby Portis\portibo01,20.14,F,us,Arkansas,2016,2020,256,20.4,10.2,6.2,1.1,0.5,0.3,0.457,0.49,0.36,0.751,9.2,0.085
186,2017,NBA,1,30,UTA,Josh Hart\hartjo01,22.114,G,us,Villanova,2018,2020,136,24.6,8.1,4.1,1.3,0.9,0.4,0.437,0.532,0.364,0.713,5.9,0.085
187,2010,NBA,1,26,OKC,Quincy Pondexter\pondequ01,22.111,G-F,us,Washington,2011,2019,355,15.6,4.5,1.8,0.7,0.3,0.1,0.423,0.475,0.356,0.746,9.7,0.084
188,2010,NBA,2,39,NYK,Landry Fields\fieldla01,22.002,F,us,Stanford,2011,2015,255,23.6,6.8,4.3,1.6,0.8,0.2,0.473,0.52,0.332,0.666,10.5,0.084
189,2012,NBA,1,15,PHI,Maurice Harkless\harklma01,19.053,F-G,us,St. John's,2013,2020,482,23,7.3,3.7,0.9,1,0.7,0.477,0.545,0.323,0.613,19.5,0.084
190,2014,NBA,1,12,ORL,Dario Šarić\saricda01,20.084,F,hr,,2017,2020,246,26.9,12.6,6.2,2.1,0.7,0.2,0.432,0.487,0.358,0.832,11.6,0.084
191,2015,NBA,1,9,CHO,Frank Kaminsky\kaminfr01,22.087,F-C,us,Wisconsin,2016,2020,288,22.2,9.8,4,1.6,0.5,0.4,0.418,0.469,0.345,0.763,11.2,0.084
192,2017,NBA,1,6,ORL,Jonathan Isaac\isaacjo01,19.267,F,us,Florida State,2018,2020,108,25.1,8.6,5.1,1,0.9,1.3,0.418,0.48,0.33,0.815,4.7,0.084
193,2017,NBA,1,24,UTA,Tyler Lydon\lydonty01,21.079,F,us,Syracuse,2018,2019,26,3.7,0.9,0.7,0.2,0.1,0,0.5,0.625,0.4,0.333,0.2,0.084
194,2009,NBA,2,44,DET,Chase Budinger\budinch01,21.039,F,us,Arizona,2010,2016,407,19.7,7.9,3,1.2,0.5,0.2,0.43,0.486,0.352,0.797,13.9,0.083
195,2015,NBA,1,18,HOU,Sam Dekker\dekkesa01,21.055,F,us,Wisconsin,2016,2019,200,15.5,5.5,3,0.8,0.5,0.2,0.478,0.57,0.288,0.606,5.4,0.083
196,2013,NBA,1,8,DET,Kentavious Caldwell-Pope\caldwke01,20.134,G,us,Georgia,2014,2020,476,29.7,11.8,3.3,1.6,1.2,0.2,0.412,0.471,0.345,0.799,24,0.082
197,2009,NBA,2,53,SAS,Nando De Colo\decolna01,22.008,G,fr,,2013,2014,119,11.9,3.8,1.8,1.7,0.5,0.1,0.429,0.463,0.363,0.835,2.4,0.081
198,2011,NBA,2,31,MIA,Bojan Bogdanović\bogdabo02,22.071,G-F,ba,,2015,2020,405,27.8,13.4,3.4,1.4,0.6,0.1,0.464,0.52,0.39,0.848,19.1,0.081
199,2014,NBA,1,6,BOS,Marcus Smart\smartma01,20.117,G,us,Oklahoma State,2015,2020,346,28.5,9.3,3.5,3.9,1.5,0.4,0.372,0.436,0.311,0.764,16.6,0.081
200,2015,NBA,1,19,WAS,Jerian Grant\grantje02,22.264,G,us,Notre Dame,2016,2019,273,18,6.1,1.9,2.9,0.7,0.1,0.412,0.465,0.324,0.771,8.3,0.081
201,2015,NBA,2,46,MIL,Norman Powell\powelno01,22.036,G,us,UCLA,2016,2020,261,17,7.1,2.2,1.2,0.6,0.2,0.441,0.51,0.343,0.806,7.4,0.081
202,2016,NBA,1,3,BOS,Jaylen Brown\brownja02,19.247,F-G,us,Cal,2017,2020,225,24.4,11.3,4,1.3,0.8,0.4,0.463,0.518,0.364,0.658,9.3,0.081
203,2016,NBA,1,29,SAS,Dejounte Murray\murrade01,19.282,G,us,Washington,2017,2020,124,17.6,6.9,4.4,2.4,0.9,0.3,0.448,0.46,0.313,0.711,3.7,0.081
204,2009,NBA,2,33,POR,Dante Cunningham\cunnida01,22.07,F,us,Villanova,2010,2019,715,20.8,5.8,3.7,0.7,0.6,0.5,0.469,0.494,0.345,0.649,24.9,0.08
205,2017,NBA,2,53,BOS,Kadeem Allen\allenka01,24.164,G,us,Arizona,2018,2019,37,14.1,5.6,1.7,2.4,0.5,0.2,0.436,0.466,0.362,0.778,0.9,0.08
206,2009,NBA,1,25,OKC,Rodrigue Beaubois\beaubro01,21.127,G,gp,,2010,2013,182,15.9,7.1,1.9,2.1,0.7,0.3,0.439,0.5,0.325,0.81,4.8,0.079
207,2013,NBA,2,47,ATL,Raul Neto\netora01,21.044,G,br,,2016,2020,203,14,4.7,1.3,1.9,0.5,0.1,0.444,0.483,0.377,0.776,4.6,0.079
208,2015,NBA,1,21,DAL,Justin Anderson\anderju01,21.223,G,us,Virginia,2016,2019,216,13.2,5.3,2.6,0.7,0.4,0.3,0.419,0.523,0.302,0.778,4.7,0.079
209,2015,NBA,1,23,POR,Rondae Hollis-Jefferson\holliro01,20.178,F,us,Arizona,2016,2020,235,23.5,9.9,5.9,2,1,0.6,0.444,0.468,0.223,0.738,9.1,0.079
