Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
490,2011,NBA,2,56,LAL,Chukwudiebere Maduabum\maduach01,20.101,F,ng,,,,,,,,,,,,,,,,
491,2011,NBA,2,57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,,
492,2011,NBA,2,58,LAL,Ater Majok\majokat01,23.36,F-C,sd,,,,,,,,,,,,,,,,
493,2011,NBA,2,59,SAS,Ádám Hanga\hangaad01,22.077,G,hu,,,,,,,,,,,,,,,,
494,2012,NBA,2,50,DEN,İzzet Türkyılmaz\turkyiz01,22.045,C-F,tr,,,,,,,,,,,,,,,,
495,2012,NBA,2,56,TOR,Tomislav Zubčić\zubcito01,22.178,F,hr,,,,,,,,,,,,,,,,
496,2012,NBA,2,57,NJN,İlkan Karaman\karamil01,22.052,F,tr,,,,,,,,,,,,,,,,
497,2012,NBA,2,59,SAS,Marcus Denmon\denmoma01,22.106,G,us,Missouri,,,,,,,,,,,,,,,
498,2013,NBA,1,28,SAS,Livio Jean-Charles\jeancli01,19.236,F,gf,,,,,,,,,,,,,,,,
499,2013,NBA,2,45,POR,Marko Todorović\todorma01,21.074,F,me,,,,,,,,,,,,,,,,
500,2013,NBA,2,51,ORL,Romero Osby,,,,Oklahoma,,,,,,,,,,,,,,,
501,2013,NBA,2,53,IND,Colton Iverson\iversco01,24.004,C,us,Colorado State,,,,,,,,,,,,,,,
502,2013,NBA,2,54,WAS,Arsalan Kazemi\kazemar01,23.072,F,ir,Oregon,,,,,,,,,,,,,,,
503,2013,NBA,2,57,PHO,Alex Oriakhi\oriakal01,23.012,F,us,Missouri,,,,,,,,,,,,,,,
504,2013,NBA,2,58,SAS,Deshaun Thomas\thomade01,21.308,F,us,Ohio State,,,,,,,,,,,,,,,
505,2013,NBA,2,59,MIN,Bojan Dubljević\dubljbo01,21.252,F-C,me,,,,,,,,,,,,,,,,
506,2013,NBA,2,60,MEM,Jānis Timma\timmaja01,21,F,lv,,,,,,,,,,,,,,,,
507,2014,NBA,2,37,TOR,DeAndre Daniels\daniede01,22.077,F,us,UConn,,,,,,,,,,,,,,,
508,2014,NBA,2,50,PHO,Alec Brown\brownal01,21.343,F-C,us,Green Bay,,,,,,,,,,,,,,,
509,2014,NBA,2,52,PHI,Vasilije Micić\micicva01,20.169,G,rs,,,,,,,,,,,,,,,,
510,2014,NBA,2,53,MIN,Alessandro Gentile\gential01,21.231,F,it,,,,,,,,,,,,,,,,
511,2014,NBA,2,54,PHI,Nemanja Dangubić\dangune01,21.079,G,rs,,,,,,,,,,,,,,,,
512,2014,NBA,2,57,IND,Louis Labeyrie\labeylo01,22.141,F,fr,,,,,,,,,,,,,,,,
513,2014,NBA,2,59,TOR,Xavier Thames\thamexa01,23.164,G,us,San Diego State,,,,,,,,,,,,,,,
